PCode,LAT,LONG,NAME,DISTRICT,COUNTRY
CG010700022,-3.998332,13.918888,Kimbaka,Bouenza,Congo
CG010700023,-3.981115,13.972221,Bosso II,Bouenza,Congo
CG010700024,-3.990556,13.914448,Kimbana,Bouenza,Congo
CG010700025,-3.990556,13.914448,Madoungou,Bouenza,Congo
CG010700026,-3.954448,14.038886,Mpono I,Bouenza,Congo
CG010700027,-4.001108,13.851666,Boso,Bouenza,Congo
CG010700028,-3.94972,14.025832,Kidzoumba,Bouenza,Congo
CG010700029,-3.94972,14.025832,Kingola,Bouenza,Congo
CG010700030,-3.955833,13.964444,Ngenge,Bouenza,Congo
CG010700031,-3.94556,13.95944,Miambi,Bouenza,Congo
CG010700032,-3.952778,13.89,Mouliene,Bouenza,Congo
CG010700033,-3.952778,13.89,Kikaya II,Bouenza,Congo
CG010700034,-3.925275,13.955557,Kilonga,Bouenza,Congo
CG010700035,-3.921115,13.955832,Kikaya I,Bouenza,Congo
CG010700036,-3.912496,13.9575,Mayoulou,Bouenza,Congo
CG010700037,-3.923053,13.908889,Tsiangi II,Bouenza,Congo
CG010700038,-3.951386,13.806109,Boumou,Bouenza,Congo
CG010700039,-3.933329,13.803893,Tsiangi I,Bouenza,Congo
CG010700040,-3.905837,13.899726,Tsiangui I,Bouenza,Congo
CG010700041,-3.912218,13.86889,Tsiaki,Bouenza,Congo
CG010700042,-3.882218,13.969722,Kimboto,Bouenza,Congo
CG010700043,-3.868332,13.976115,Masia,Bouenza,Congo
CG010700044,-3.914996,13.80472,Massia,Bouenza,Congo
CG010700045,-3.873614,13.89667,Tsiaki II,Bouenza,Congo
CG010700046,-3.896666,13.788329,Kifoulou,Bouenza,Congo
CG010700047,-3.888887,13.775832,Kimalou,Bouenza,Congo
CG010700048,-3.889169,13.745835,Tsomono,Bouenza,Congo
CG010700049,-3.872776,13.749722,Tsomono I,Bouenza,Congo
CG010700050,-3.862497,13.734447,Mousanga-Mayaka,Bouenza,Congo
CG010800001,-4.424997,13.279998,Niari,Bouenza,Congo
CG010800002,-4.405275,13.28389,Masangi,Bouenza,Congo
CG010800003,-4.377503,13.291107,Massangui,Bouenza,Congo
CG010800004,-4.321385,13.399163,Doungou,Bouenza,Congo
CG010800005,-4.29917,13.409723,Doungou I,Bouenza,Congo
CG010800006,-4.304998,13.377496,Poumou,Bouenza,Congo
CG010800007,-4.282779,13.327504,Boumbou,Bouenza,Congo
CG010800008,-4.271667,13.336391,Boumbou I,Bouenza,Congo
CG010800009,-4.27361,13.327496,Kibouari,Bouenza,Congo
CG010800010,-4.269443,13.328613,Nzao I,Bouenza,Congo
CG010800011,-4.261391,13.318614,Doungou II,Bouenza,Congo
CG010800012,-4.261391,13.318614,Boumbou II,Bouenza,Congo
CG010800013,-4.255001,13.315836,Moussoubou,Bouenza,Congo
CG010800014,-4.24222,13.339166,Yamba,Bouenza,Congo
